"flex href","fill-current","line-clamp-1","text-main-variant","text-on-surface","text-caption","line-clamp-2","flex","adcard_554c76b6d","box-border","box-border 2","text-caption 2","text-caption 3","h-[2 src"
"https://www.leboncoin.fr/ad/ordinateurs/2839786798","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro Retina 15"" - 2To SSD - i7 4Ghz - 1 cycle batterie 🍏🛡️ Garantie incluse  ✨","1 499 €","Très bon état","Pro","Livraison possible","Saint-Pierre 97410","aujourd’hui à 23:20",""
"https://www.leboncoin.fr/ad/ordinateurs/2839784532","","krocop","Star","5","(67)","MacBook pro 16 pouces m1 pro","1 400 €","État neuf","","Livraison possible","Vitry-sur-Seine 94400","aujourd’hui à 23:11","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/3e52bfd4-a2a2-5160-9c98-f69d60f5f806?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839779483","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13'' M1 3.2Ghz - 8Go RAM 256Go SSD - État impeccable ✨💻🔝","1 299 €","Reconditionné","Pro","Livraison possible","Marseille 13001","aujourd’hui à 22:51",""
"https://www.leboncoin.fr/ad/ordinateurs/2839772969","Vendeur pro","TechPower.fr","Star","5","(24)","MacBook Pro 13'' M1 3.2Ghz - 8Go RAM - 256Go SSD - État comme neuf  💻✨","1 299 €","Reconditionné","Pro","Livraison possible","Villejuif 94800","aujourd’hui à 22:30",""
"https://www.leboncoin.fr/ad/ordinateurs/2839754033","","Alexandre_33","","","","MacBook Pro M1 Pro","1 500 €","Très bon état","","Livraison possible","Grayan-et-l'Hôpital 33590","aujourd’hui à 21:43","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/f8f37ce6-0e28-51f6-b994-a76d3378aace?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839737956","","Kernel","Star","5","(143)","Macbook M1 état neuf garanti 07/26 idéal photo, graphisme, vidéo, dessin, photoshop, final cut, illustrator, after effect, pixelmator, office, luminar neo, sketchup, autocad, archicad","1 200 €","État neuf","","Livraison possible","Fouesnant 29170","aujourd’hui à 21:10","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/550a68fd-1225-5cca-86c1-e86cebce2ea2?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839721674","","Fred","Star","5","(98)","MacBook Pro M1 16","1 200 €","Très bon état","","Livraison possible","Gap 05000","aujourd’hui à 20:37","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/92ed8708-5ee2-5c29-9220-6e529f2a201f?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2839714427","","Nicolas","Star","5","(3)","MacBook Pro 13’ M2","1 500 €","État neuf","","Livraison possible","Paris 75016","aujourd’hui à 20:22","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/39a854f7-365c-5643-a7b6-cc5789ddaa78?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2815581524","Baisse de prix","Chris-Kevin","","","","Vend Macbook pro 14"" M1 pro 1500","","État neuf","","Livraison possible","Saint-Cyr-l'École 78210","aujourd’hui à 20:14","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/595e2f09-7cbf-5fe1-810a-ef89743d4e16?rule=pp-small"
"https://www.leboncoin.fr/ad/ordinateurs/2793049507","Baisse de prix","Belsa","Star","5","(1)","MacBook Pro 14 pouces M1 Pro","","Très bon état","","Livraison possible","Créteil 94000","aujourd’hui à 20:04","https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/default/4ab64f13-211e-55fe-b0a2-1d375250ed38?rule=pp-small"
