"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2829155611","https://img.leboncoin.fr/api/v1/lbcpb1/images/8c/1d/1b/8c1d1b12ddee1e680527a2e1deaf78635be3a62a.jpg?rule=ad-image","À la une","Ford Fiesta V 1.0 EcoBoost 95ch Cool & Connect 5p","9 500 €","Pack Sérénité","202095500 kmEssenceManuelle","2020","95500 km","Essence","Manuelle","Ajaccio 20000"
"https://www.leboncoin.fr/ad/voitures/2835745550","https://img.leboncoin.fr/api/v1/lbcpb1/images/77/fa/f5/77faf5de2d5149116a62d4f7d782ebe1d2525b51.jpg?rule=ad-image","","Transfert contrat location LOA KILOMÉTRAGE ILLIMITÉ TOYOTA CAMRY","6 000 €","Paiement sécurisé","202416500 kmHybrideManuelle","2024","16500 km","Hybride","Manuelle","Brétigny-sur-Orge 91220"
"https://www.leboncoin.fr/ad/voitures/2835929064","https://img.leboncoin.fr/api/v1/lbcpb1/images/1f/27/c9/1f27c9a6aa5ac563d5edc05c784ef56ee2ee280c.jpg?rule=ad-image","Pro","RENAULT TWINGO 71ch VU dérive VP TVA Récup","6 490 €","","202088590 kmEssenceManuelle","2020","88590 km","Essence","Manuelle","Toul 54200"
"https://www.leboncoin.fr/ad/voitures/2792502637","https://img.leboncoin.fr/api/v1/lbcpb1/images/b9/80/95/b9809585cf60289bf6ba42c78583d075a4b9d258.jpg?rule=ad-image","","108","6 500 €","Pack Sérénité","202089000 kmEssenceManuelle","2020","89000 km","Essence","Manuelle","Le Blanc-Mesnil 93150"
"https://www.leboncoin.fr/ad/voitures/2830201629","https://img.leboncoin.fr/api/v1/lbcpb1/images/76/96/c3/7696c35eb76bfd131d879fdb765088a5927b25b6.jpg?rule=ad-image","Pro","FIAT PANDA III 1.2 essence 5 portes","6 700 €","","202085000 kmEssenceManuelle","2020","85000 km","Essence","Manuelle","Pointe-à-Pitre 97110"
"https://www.leboncoin.fr/ad/voitures/2830991833","https://img.leboncoin.fr/api/v1/lbcpb1/images/36/bc/f1/36bcf18ef6684df98e544ec2797b77a6904a7a95.jpg?rule=ad-image","","C3","6 800 €","Pack Sérénité","2020138000 kmEssenceManuelle","2020","138000 km","Essence","Manuelle","Vitrolles 13127"
"https://www.leboncoin.fr/ad/voitures/2832814655","https://img.leboncoin.fr/api/v1/lbcpb1/images/7e/d9/46/7ed9463a1b83ef203548f4ee8ff867a4952b8d04.jpg?rule=ad-image","","Renault twisy 45 intens","6 900 €","Paiement sécurisé","202015000 kmElectriqueAutomatique","2020","15000 km","Electrique","Automatique","Cannes 06400"
"https://www.leboncoin.fr/ad/voitures/2829945955","https://img.leboncoin.fr/api/v1/lbcpb1/images/ca/52/f4/ca52f42f662da45046c9f49651d2352f32614eb2.jpg?rule=ad-image","","Citroen c3","6 900 €","Pack Sérénité","202043900 kmEssenceManuelle","2020","43900 km","Essence","Manuelle","Montpellier 34000"
"https://www.leboncoin.fr/ad/voitures/2797648028","https://img.leboncoin.fr/api/v1/lbcpb1/images/6c/a4/e8/6ca4e80f43846676a2fbbcad59033e3a8ca70dee.jpg?rule=ad-image","","Fiat panda 2020","6 900 €","Pack Sérénité","202054000 kmEssenceManuelle","2020","54000 km","Essence","Manuelle","Le Pont-de-Beauvoisin 38480"
"https://www.leboncoin.fr/ad/voitures/2789207840","","","Peugeot 108 3 portes essence 2500 kms","6 980 €","Pack Sérénité","20202503 kmEssenceManuelle","2020","2503 km","Essence","Manuelle","Thiberville 27230"
"https://www.leboncoin.fr/ad/voitures/2723742930","","Pro","Twingo III Phase 2 1.0 SCe 75 CV Zen BMV5","","","202053950 kmEssenceManuelle","2020","53950 km","Essence","Manuelle","Le Raincy 93340"
"https://www.leboncoin.fr/ad/voitures/2835672701","","","Peugeot 108","7 100 €","Pack Sérénité","202068000 kmEssenceManuelle","2020","68000 km","Essence","Manuelle","Drucourt 27230"
"https://www.leboncoin.fr/ad/voitures/2830990291","","","Citroën C3 110cv S&S BVM6 Shine","7 200 €","Pack Sérénité","2020101743 kmEssenceManuelle","2020","101743 km","Essence","Manuelle","Lisses 91090"
"https://www.leboncoin.fr/ad/voitures/2809592869","","","Ami citroën pop","7 200 €","Paiement sécurisé","202120900 kmElectriqueAutomatique","2021","20900 km","Electrique","Automatique","Les Authieux-sur-le-Port-St-Ouen 76520 Le Port Saint-Ouen"
"https://www.leboncoin.fr/ad/voitures/2789636521","","","Dacia Sandero Stepway 2020","7 300 €","Paiement sécurisé","202085000 kmGPLManuelle","2020","85000 km","GPL","Manuelle","Valdivienne 86300"
"https://www.leboncoin.fr/ad/voitures/2800602513","","","Voiture kia Picanto","7 400 €","Pack Sérénité","202052100 kmEssenceManuelle","2020","52100 km","Essence","Manuelle","Crégy-lès-Meaux 77124"
"https://www.leboncoin.fr/ad/voitures/2698968087","","Pro","CITROËN C3 1.2 VTi 83 cv - LIVE - CLIMATISATION - RÉGULATEUR - LIMITEUR - BLUETOOTH","","","202044500 kmEssenceManuelle","2020","44500 km","Essence","Manuelle","Colombes 92700"
